k	L	method	density	density_std				
100	110	random	0.167774	0.00946993	0.7193	0.00718401	0	0
100	110	decycling	0.171126	0.00788023	21.8487	0.0192044	0	0
100	110	double	0.169695	0.00614456	28.5832	0.0152565	0	0
100	120	random	0.0929969	0.00386123	0.6908	0.00730479	0	0
100	120	decycling	0.090544	0.00268405	21.7785	0.0935877	0	0
100	120	double	0.0937465	0.0027247	28.5944	0.0959762	0	0
100	130	random	0.0640212	0.00432202	0.6786	0.0116379	0	0
100	130	decycling	0.06316	0.00137803	21.789	0.0117898	0	0
100	130	double	0.0623874	0.00110458	28.6162	0.278397	0	0
100	140	random	0.0484801	0.00107024	0.6664	0.00447661	0	0
100	140	decycling	0.0483634	0.00169316	22.2609	0.370823	0	0
100	140	double	0.0454498	0.000494495	28.5701	0.104697	0	0
100	150	random	0.039312	0.00185357	0.6629	0.00973088	0	0
100	150	decycling	0.0386528	0.00159725	21.8351	0.13856	0	0
100	150	double	0.0346518	0.000565199	28.5251	0.0238556	0	0
100	160	random	0.0327333	0.00122834	0.6582	0.00599667	0	0
100	160	decycling	0.0320167	0.00084933	21.7904	0.0182932	0	0
100	160	double	0.0274956	0.000348543	28.5007	0.0083672	0	0
100	170	random	0.0278391	0.000477538	0.6573	0.00730821	0	0
100	170	decycling	0.0269104	0.000921764	22.3421	0.387281	0	0
100	170	double	0.02317	6.80278E-05	28.6607	0.327669	0	0
100	180	random	0.0249972	0.000982055	0.6449	0.0047	0	0
100	180	decycling	0.0222735	0.000338062	21.7932	0.0612647	0	0
100	180	double	0.0199777	3.82572E-05	28.6438	0.0120814	0	0
100	190	random	0.022064	0.000383178	0.6442	0.00713863	0	0
100	190	decycling	0.0196211	0.000249349	21.7699	0.0710035	0	0
100	190	double	0.0173814	9.51284E-05	28.6355	0.0091022	0	0
100	200	random	0.0203839	0.00079011	0.6437	0.00773369	0	0
100	200	decycling	0.0172891	0.000384223	21.7771	0.0910313	0	0
100	200	double	0.0154603	3.75802E-05	28.64	0.019308	0	0
100	210	random	0.0182615	0.000503739	0.6747	0.0256984	0	0
100	210	decycling	0.0154053	0.000135694	21.8135	0.0505989	0	0
100	210	double	0.0139887	2.72648E-05	28.6572	0.0493494	0	0
100	220	random	0.0166977	0.000585318	0.641	0.00611555	0	0
100	220	decycling	0.0138768	0.000107763	22.0127	0.495439	0	0
100	220	double	0.0128218	8.87718E-05	28.7171	0.378348	0	0
100	230	random	0.0152542	0.000185082	0.6358	0.00703989	0	0
100	230	decycling	0.0126847	9.65669E-05	21.8349	0.119543	0	0
100	230	double	0.0119189	2.19061E-05	28.6399	0.0552891	0	0
100	240	random	0.0142269	0.000177791	0.635	0.0111624	0	0
100	240	decycling	0.0116808	4.95077E-05	21.9337	0.280207	0	0
100	240	double	0.0111528	7.84983E-05	28.6763	0.024912	0	0
100	250	random	0.0134433	0.000542533	0.6333	0.00923093	0	0
100	250	decycling	0.0108848	0.000119454	21.9617	0.423078	0	0
100	250	double	0.0105093	0.000118024	28.6608	0.192168	0	0
100	260	random	0.0123507	0.00023376	0.6293	0.00994032	0	0
100	260	decycling	0.0101593	2.81624E-05	21.8622	0.0744739	0	0
100	260	double	0.0100012	0.000153134	28.8184	0.548174	0	0
100	270	random	0.0117657	0.000245756	0.6276	0.00631189	0	0
100	270	decycling	0.00951288	0.000100244	22.0663	0.0908912	0	0
100	270	double	0.00938681	1.76769E-05	28.8052	0.436764	0	0
100	280	random	0.0114019	0.000754199	0.6275	0.00618466	0	0
100	280	decycling	0.00902308	9.89019E-05	22.0014	0.615653	0	0
100	280	double	0.00888307	0.000156282	28.6546	0.0692506	0	0
100	290	random	0.010669	0.000252971	0.6222	0.00592959	0	0
100	290	decycling	0.0085687	0.000113111	21.8997	0.341075	0	0
100	290	double	0.0085268	5.28711E-05	28.6019	0.00398623	0	0
100	300	random	0.0102996	0.000590871	0.6317	0.0078492	0	0
100	300	decycling	0.00817702	0.000134118	21.929	0.123056	0	0
100	300	double	0.00815919	1.93208E-05	28.6556	0.0164997	0	0
100	310	random	0.00978914	0.000537315	0.6274	0.0104518	0	0
100	310	decycling	0.00788131	1.43625E-05	21.8439	0.0144253	0	0
100	310	double	0.00784492	1.58961E-05	28.641	0.0282524	0	0
100	320	random	0.00917194	0.000317324	0.6262	0.00967264	0	0
100	320	decycling	0.00755783	5.42412E-05	21.8518	0.0839926	0	0
100	320	double	0.00756118	1.24509E-05	28.651	0.0329545	0	0
100	330	random	0.00887064	0.000170472	0.6279	0.0118444	0	0
100	330	decycling	0.00728534	2.87779E-05	21.8833	0.344108	0	0
100	330	double	0.00729116	1.33832E-05	28.6332	0.0121721	0	0
100	340	random	0.00848271	0.000126957	0.6192	0.00612862	0	0
100	340	decycling	0.00706683	8.30736E-05	21.7738	0.159882	0	0
100	340	double	0.00703608	1.39615E-05	28.6355	0.123002	0	0
100	350	random	0.00819245	0.000440932	0.6211	0.00808022	0	0
100	350	decycling	0.00680314	1.02448E-05	22.0743	0.537778	0	0
