k	L	method	density	density_std	runtime	runtime_std		
100	110	random	0.156937	0	11.215	0	0	0
100	110	decycling	0.168917	0	336.816	0	0	0
100	110	double	0.16672	0	478.614	0	0	0
100	120	random	0.096654	0	10.805	0	0	0
100	120	decycling	0.0942986	0	336.495	0	0	0
100	120	double	0.09337	0	442.344	0	0	0
100	130	random	0.0618688	0	10.471	0	0	0
100	130	decycling	0.0620114	0	336.217	0	0	0
100	130	double	0.0643026	0	440.545	0	0	0
100	140	random	0.0481317	0	10.469	0	0	0
100	140	decycling	0.0469744	0	335.958	0	0	0
100	140	double	0.0453687	0	439.752	0	0	0
100	150	random	0.040313	0	10.302	0	0	0
100	150	decycling	0.0386906	0	335.991	0	0	0
100	150	double	0.0343752	0	439.736	0	0	0
100	160	random	0.0320298	0	10.281	0	0	0
100	160	decycling	0.0317518	0	335.505	0	0	0
100	160	double	0.0275546	0	439.677	0	0	0
100	170	random	0.0286005	0	10.031	0	0	0
100	170	decycling	0.0265826	0	335.413	0	0	0
100	170	double	0.0233913	0	439.245	0	0	0
100	180	random	0.0246515	0	10.235	0	0	0
100	180	decycling	0.0228497	0	335.607	0	0	0
100	180	double	0.020021	0	440.481	0	0	0
100	190	random	0.0226662	0	10.147	0	0	0
100	190	decycling	0.0192225	0	335.852	0	0	0
100	190	double	0.0173908	0	440.059	0	0	0
100	200	random	0.0208316	0	10.057	0	0	0
100	200	decycling	0.0173639	0	335.087	0	0	0
100	200	double	0.0154306	0	439.087	0	0	0
100	210	random	0.0181833	0	10.007	0	0	0
100	210	decycling	0.0153589	0	334.965	0	0	0
100	210	double	0.0139526	0	439.14	0	0	0
100	220	random	0.0164854	0	9.802	0	0	0
100	220	decycling	0.0139062	0	336.676	0	0	0
100	220	double	0.0128425	0	439.058	0	0	0
100	230	random	0.0155567	0	9.861	0	0	0
100	230	decycling	0.0126977	0	335.118	0	0	0
100	230	double	0.0119159	0	439.095	0	0	0
100	240	random	0.0142811	0	9.969	0	0	0
100	240	decycling	0.0116881	0	335.242	0	0	0
100	240	double	0.0111533	0	439.04	0	0	0
100	250	random	0.0132757	0	10.067	0	0	0
100	250	decycling	0.0108909	0	336.101	0	0	0
100	250	double	0.0104985	0	439.655	0	0	0
100	260	random	0.0124903	0	9.836	0	0	0
100	260	decycling	0.0101877	0	335.192	0	0	0
100	260	double	0.00991471	0	439.08	0	0	0
100	270	random	0.0117238	0	9.804	0	0	0
100	270	decycling	0.00954879	0	335.214	0	0	0
100	270	double	0.00940201	0	439.361	0	0	0
100	280	random	0.0112486	0	9.694	0	0	0
100	280	decycling	0.00904591	0	334.901	0	0	0
100	280	double	0.00891529	0	439.237	0	0	0
100	290	random	0.010547	0	9.788	0	0	0
100	290	decycling	0.0085853	0	334.907	0	0	0
100	290	double	0.00851853	0	444.708	0	0	0
100	300	random	0.00994537	0	9.829	0	0	0
100	300	decycling	0.00818821	0	339.159	0	0	0
100	300	double	0.00814684	0	439.367	0	0	0
100	310	random	0.00942062	0	9.687	0	0	0
100	310	decycling	0.00786508	0	335.166	0	0	0
100	310	double	0.00784409	0	439.173	0	0	0
100	320	random	0.00925064	0	10.028	0	0	0
100	320	decycling	0.00757254	0	334.852	0	0	0
100	320	double	0.00755192	0	446.318	0	0	0
100	330	random	0.00873138	0	10.009	0	0	0
100	330	decycling	0.00731049	0	334.814	0	0	0
100	330	double	0.00729151	0	446.116	0	0	0
100	340	random	0.00823893	0	9.598	0	0	0
100	340	decycling	0.00705838	0	335.907	0	0	0
100	340	double	0.00704505	0	439.056	0	0	0
100	350	random	0.00812047	0	10.241	0	0	0
100	350	decycling	0.00681579	0	335.626	0	0	0
100	350	double	0.00680148	0	439.37	0	0	0
100	360	random	0.00770478	0	9.818	0	0	0
100	360	decycling	0.00658444	0	335.023	0	0	0
100	360	double	0.00657477	0	439.079	0	0	0
100	370	random	0.00751963	0	9.543	0	0	0
100	370	decycling	0.00638088	0	335.176	0	0	0
100	370	double	0.00637843	0	439.361	0	0	0
100	380	random	0.0072268	0	9.66	0	0	0
100	380	decycling	0.00618197	0	334.837	0	0	0
100	380	double	0.00618171	0	439.387	0	0	0
100	390	random	0.00694189	0	9.626	0	0	0
100	390	decycling	0.00600887	0	335.313	0	0	0
100	390	double	0.00600093	0	439.435	0	0	0
100	400	random	0.00669249	0	9.685	0	0	0
100	400	decycling	0.00583382	0	335.639	0	0	0
100	400	double	0.00582055	0	440.05	0	0	0
100	410	random	0.00650766	0	9.777	0	0	0
100	410	decycling	0.00567081	0	352.047	0	0	0
100	410	double	0.00566532	0	442.338	0	0	0
100	420	random	0.00627094	0	9.931	0	0	0
100	420	decycling	0.00550968	0	334.926	0	0	0
100	420	double	0.005509	0	443.087	0	0	0
100	430	random	0.0061354	0	9.656	0	0	0
100	430	decycling	0.00535701	0	335.25	0	0	0
100	430	double	0.00535916	0	439.215	0	0	0
100	440	random	0.00584222	0	9.533	0	0	0
100	440	decycling	0.00520447	0	345.819	0	0	0
100	440	double	0.0052047	0	439.196	0	0	0
100	450	random	0.00586078	0	9.56	0	0	0
100	450	decycling	0.00505918	0	335.212	0	0	0
100	450	double	0.00505943	0	439.949	0	0	0
