k	L	method	density	density_std	runtime	runtime_std		
11	20	random	0.184691	0.0113348	0.043	0.00275681	0	0
11	20	decycling	0.160214	0.00310418	0.1476	0.00245764	0	0
11	20	double	0.147633	7.95375E-05	0.1702	0.00536284	0	0
11	20	decycling_set	0.161956	0.00277493	0.0619	0.00113578	0	0
11	20	pasha	0.162469	0.000945413	0.0749	0.00583866	0	0
11	20	docks	0.159629	0.000600376	0.0726	0.0065909	0	0
11	30	random	0.0974307	0.00499982	0.0373	0.00100499	0	0
11	30	decycling	0.0799942	0.000321764	0.1429	0.00144568	0	0
11	30	double	0.0794378	0.000189478	0.168	0.00343511	0	0
11	30	decycling_set	0.0798373	0.000314595	0.0589	0.000830662	0	0
11	30	pasha	0.0866262	0.00213802	0.0681	0.00504876	0	0
11	30	docks	0.0856599	0.00164021	0.0669	0.00478435	0	0
11	40	random	0.0654149	0.00310578	0.0349	0.000943398	0	0
11	40	decycling	0.0568648	0.000116592	0.1419	0.00181384	0	0
11	40	double	0.0568531	5.60326E-05	0.1666	0.00287054	0	0
11	40	decycling_set	0.0568801	0.000106419	0.0592	0.0006	0	0
11	40	pasha	0.0603632	0.00076152	0.0633	0.000640312	0	0
11	40	docks	0.0590495	0.000488759	0.0632	0.0006	0	0
11	50	random	0.0476332	0.000648646	0.0343	0.000640312	0	0
11	50	decycling	0.0442919	0.000114321	0.1418	0.001249	0	0
11	50	double	0.0442508	8.06602E-05	0.1672	0.00267582	0	0
11	50	decycling_set	0.0442181	6.12107E-05	0.0601	0.0007	0	0
11	50	pasha	0.0459052	0.000507622	0.0628	0.00274955	0	0
11	50	docks	0.0456436	0.000418767	0.0622	0.0006	0	0
11	60	random	0.0398642	0.00142635	0.034	0.000632456	0	0
11	60	decycling	0.0362203	7.04475E-05	0.1407	0.00126886	0	0
11	60	double	0.0362474	0.00009995	0.1659	0.00238537	0	0
11	60	decycling_set	0.0362269	0.000108617	0.0597	0.000458258	0	0
11	60	pasha	0.0373931	0.000498247	0.0621	0.000538516	0	0
11	60	docks	0.0369103	0.000252694	0.0611	0.0003	0	0
11	70	random	0.0330116	0.00129784	0.0336	0.000489898	0	0
11	70	decycling	0.030681	6.83249E-05	0.1406	0.00185472	0	0
11	70	double	0.0306651	6.47881E-05	0.1648	0.00208806	0	0
11	70	decycling_set	0.0306802	6.57181E-05	0.0593	0.000458258	0	0
11	70	pasha	0.0315629	0.000409916	0.0591	0.0003	0	0
11	70	docks	0.0312552	0.000320935	0.0641	0.00186815	0	0
11	80	random	0.0278648	0.000336716	0.0331	0.0003	0	0
11	80	decycling	0.0265946	6.49036E-05	0.14	0.00178885	0	0
11	80	double	0.0266073	7.64224E-05	0.1647	0.00184662	0	0
11	80	decycling_set	0.0265618	4.17858E-05	0.0575	0.0005	0	0
11	80	pasha	0.0270562	0.000188904	0.0601	0.0003	0	0
11	80	docks	0.0268942	0.000104716	0.0599	0.0003	0	0
