k	L	method	density	density_std	runtime	runtime_std	maxbin	maxbin_std
11	20	random	0.179076	0.00928204	0.0919	0.00448219	108.4	6.18385
11	20	decycling	0.161729	0.00287252	0.3026	0.00395474	107.8	2.27156
11	20	double	0.1472	7.62977E-05	0.3562	0.00324962	107.3	9.24175
11	20	decycling_set	0.16159	0.00177537	0.1519	0.0122348	105.9	6.37887
11	20	pasha	0.160947	0.0015106	0.1691	0.00962756	100.2	2.08806
11	20	docks	0.159905	0.00125862	0.167	0.0112872	108	7.11337
11	30	random	0.095114	0.00444786	0.0789	0.00308058	199.1	12.2511
11	30	decycling	0.0800355	0.000289193	0.2946	0.0052	196.6	7.92717
11	30	double	0.0794648	0.000194564	0.3523	0.00679779	202.4	13.6323
11	30	decycling_set	0.0799493	0.000192358	0.1421	0.0170965	200.5	13.7423
11	30	pasha	0.0869976	0.00173148	0.1586	0.0191165	191.9	11.5884
11	30	docks	0.0853268	0.00148247	0.1593	0.019391	198.2	13.1362
11	40	random	0.0635226	0.00136393	0.0727	0.0020025	291.3	12.9232
11	40	decycling	0.0570758	0.000177245	0.2893	0.00134536	284.8	23.0382
11	40	double	0.0569418	0.000212368	0.3451	0.00164012	277.8	22.5779
11	40	decycling_set	0.0570643	0.000204735	0.1444	0.0190693	299.9	17.8407
11	40	pasha	0.0598	0.000846488	0.1499	0.0190076	274.7	14.2692
11	40	docks	0.0591352	0.00056098	0.149	0.0186815	285	15.9185
11	50	random	0.0489084	0.00234258	0.0724	0.00253772	367	28.2843
11	50	decycling	0.0443086	6.98454E-05	0.2874	0.00287054	368.4	21.96
11	50	double	0.0443107	0.000121451	0.3434	0.00111355	364.9	16.9968
11	50	decycling_set	0.0443292	0.000133737	0.1428	0.0209418	366.1	23.4966
11	50	pasha	0.0458768	0.000289029	0.1502	0.0199439	361.2	31.141
11	50	docks	0.0456393	0.000346301	0.1449	0.0185551	345.3	37.4514
11	60	random	0.039272	0.00123596	0.07	0.00134164	443.7	21.8817
11	60	decycling	0.0362919	0.000112996	0.2882	0.00404475	455	34.917
11	60	double	0.0362237	4.28581E-05	0.3471	0.0129881	431.9	36.9607
11	60	decycling_set	0.0362846	8.24555E-05	0.146	0.0225832	455.1	38.0459
11	60	pasha	0.0372443	0.00039954	0.1458	0.0212311	418.1	25.3789
11	60	docks	0.0370232	0.000285411	0.1403	0.0182211	452.7	44.6543
11	70	random	0.033513	0.00167632	0.0715	0.00241868	545.3	50.4937
11	70	decycling	0.0306923	7.12924E-05	0.2848	0.00193907	517	40.978
11	70	double	0.0306748	6.82988E-05	0.3414	0.000916515	500.2	40.6468
11	70	decycling_set	0.0306566	3.89156E-05	0.1424	0.0234529	536.4	33.7615
11	70	pasha	0.0312637	0.000300159	0.1483	0.0225302	530.8	46.4754
11	70	docks	0.0310449	0.000146633	0.1477	0.0223564	496.9	38.3
11	80	random	0.0284076	0.00118648	0.0694	0.00195959	632.3	52.7372
11	80	decycling	0.0266134	7.31828E-05	0.2864	0.0042	606.7	43.2921
11	80	double	0.0265753	7.04626E-05	0.3427	0.00322645	575.1	26.7673
11	80	decycling_set	0.0266047	6.54788E-05	0.1563	0.0242819	585.7	40.7481
11	80	pasha	0.0269917	0.00018596	0.1498	0.0260223	618.4	52.267
