k	L	method	density	density_std	runtime	runtime_std		
11	20	random	0.183082	0.00826478	0.0466	0.00313688	0	0
11	20	decycling	0.162459	0.00335676	0.1605	0.00180278	0	0
11	20	double	0.147414	6.29776E-05	0.1839	0.00164012	0	0
11	20	decycling_set	0.162914	0.00264279	0.0702	0.0026	0	0
11	20	pasha	0.161677	0.00127371	0.08	0.00178885	0	0
11	20	docks	0.159894	0.00134281	0.0789	0.00504876	0	0
11	30	random	0.0936727	0.00210547	0.0414	0.000916515	0	0
11	30	decycling	0.0799931	0.000339227	0.1581	0.00516624	0	0
11	30	double	0.0795599	0.000176954	0.1833	0.0025318	0	0
11	30	decycling_set	0.0801872	0.000263377	0.0653	0.00100499	0	0
11	30	pasha	0.0862195	0.00165232	0.0727	0.00134536	0	0
11	30	docks	0.0861878	0.00164584	0.0714	0.00111355	0	0
11	40	random	0.0638395	0.00201712	0.0392	0.00299333	0	0
11	40	decycling	0.0568558	6.43132E-05	0.1561	0.00181384	0	0
11	40	double	0.0569354	0.00012274	0.1841	0.00262488	0	0
11	40	decycling_set	0.0569006	8.53001E-05	0.0694	0.00755248	0	0
11	40	pasha	0.0595328	0.000659399	0.0682	0.0014	0	0
11	40	docks	0.0592216	0.000615672	0.0745	0.00821279	0	0
11	50	random	0.0492014	0.0021751	0.0374	0.000663325	0	0
11	50	decycling	0.0442517	7.90063E-05	0.1555	0.00372156	0	0
11	50	double	0.0443271	0.000118003	0.1865	0.00304138	0	0
11	50	decycling_set	0.0443145	8.02762E-05	0.0686	0.00822435	0	0
11	50	pasha	0.0458033	0.000609567	0.0705	0.00732462	0	0
11	50	docks	0.0456884	0.000416092	0.0732	0.0100379	0	0
11	60	random	0.0397227	0.00163176	0.0389	0.00508822	0	0
11	60	decycling	0.036241	8.76402E-05	0.1539	0.00144568	0	0
11	60	double	0.0362635	7.52214E-05	0.1812	0.0025219	0	0
11	60	decycling_set	0.0362904	0.000115253	0.0635	0.00128452	0	0
11	60	pasha	0.0372914	0.000461493	0.0723	0.0089	0	0
11	60	docks	0.037178	0.000344779	0.0693	0.00795047	0	0
11	70	random	0.0329163	0.00137199	0.0411	0.00857263	0	0
11	70	decycling	0.030727	0.000077724	0.1528	0.000979796	0	0
11	70	double	0.0306709	6.19056E-05	0.1802	0.00198997	0	0
11	70	decycling_set	0.0306724	5.93325E-05	0.064	0.0056745	0	0
11	70	pasha	0.031334	0.000242898	0.0694	0.00836899	0	0
11	70	docks	0.0311899	0.000234619	0.0695	0.0098514	0	0
11	80	random	0.0280146	0.000364885	0.036	6.93889E-18	0	0
11	80	decycling	0.0266032	5.51398E-05	0.1528	0.00166132	0	0
11	80	double	0.0265772	6.11303E-05	0.1794	0.00195959	0	0
11	80	decycling_set	0.0265746	0.000052354	0.0631	0.00238537	0	0
11	80	pasha	0.0269933	0.00022884	0.0643	0.000458258	0	0
11	80	docks	0.0268225	4.79605E-05	0.0641	0.000538516	0	0
11	90	random	0.0254226	0.00157282	0.036	0.00118322	0	0
11	90	decycling	0.0235195	8.12226E-05	0.1537	0.00368917	0	0
11	90	double	0.0235004	9.54844E-05	0.1787	0.00179165	0	0
11	90	decycling_set	0.0234833	7.59414E-05	0.0647	0.00257099	0	0
11	90	pasha	0.0238186	0.00015012	0.0675	0.00706045	0	0
11	90	docks	0.0236746	0.000102496	0.0651	0.00323883	0	0
11	100	random	0.0219406	0.000274216	0.0358	0.00177764	0	0
11	100	decycling	0.0209749	6.26962E-05	0.1534	0.0022891	0	0
11	100	double	0.0209961	5.10082E-05	0.1816	0.00798999	0	0
11	100	decycling_set	0.0210153	7.02363E-05	0.0664	0.00887919	0	0
11	100	pasha	0.0212069	0.000100039	0.0631	0.0007	0	0
11	100	docks	0.0211225	6.85943E-05	0.0639	0.000943398	0	0
11	110	random	0.0198674	0.000652397	0.0351	0.0003	0	0
11	110	decycling	0.0190115	4.69764E-05	0.1549	0.0079177	0	0
